Stock No.,Institution name,Genus,Species,Division,Class,Synonym,Place name,Habitats,Details of habitat,Details on the freshwater environment,Details on the marine environment,State of algal and cyanobacterial strain,Preservation state,Cryopreservation,Environmental characteristics,Physiological and ecological characteristics,"Other characteristics
"
NIES-2584,National Institute for Environmental Studies,Lotharella,reticulosa,Cercozoa,Chlorarachniophyceae,,Mediterranean Sea (Depth -5m),,Depth(-5m),,,Unialgal; Clonal; Non-axenic,Subculture,No,,Planktonic,"
"
NIES-2586,National Institute for Environmental Studies,Picophagus,flagellatus,Heterokontophyta,Chrysophyceae,,"Equatorial Pacific Ocean (Depth -15m),",,Depth(-15m),,,Unialgal; Clonal; Non-axenic,Cryopreservation,No,,,"Authentic strain (Guillou et al. 1999); Heterotrophic; Phagotrophic; Planktonic
"
NIES-2587,National Institute for Environmental Studies,Microchloropsis,gaditana,Heterokontophyta,Eustigmatophyceae,,"Mediterranean Sea (Spanish Coast),",,Depth(-0m),,,Unialgal; Clonal; Non-axenic,Cryopreservation,No,,Planktonic,"
"
NIES-2588,National Institute for Environmental Studies,Nannochloropsis,granulata,Heterokontophyta,Eustigmatophyceae,,"Mediterranean Sea (Spanish Coast),",,Depth(-0m),,,Unialgal; Clonal; Non-axenic,Cryopreservation,No,,,"
"
NIES-2589,National Institute for Environmental Studies,Symbiomonas,scintillans,Stramenopila incertae sedis,Bicoecea,,"Equatorial Pacific Ocean (Depth -5m),",,Depth(-5m),,,Unialgal; Clonal; Non-axenic,Cryopreservation,No,,,"Heterotrophic; Phagotrophic; Planktonic
"
NIES-2590,National Institute for Environmental Studies,Tisochrysis,lutea,Haptophyta,Prymnesiophyceae,,"English Channel,",,,,,Unialgal; Clonal; Non-axenic,Cryopreservation,No,,Planktonic,"
"
NIES-2591,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Offensive odor; Indicator,,"ST67 (Tanabe et al. 2011)
"
NIES-2592,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator,,"ST121 (Tanabe et al. 2009a)
"
NIES-2593,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator,,"ST117 (Tanabe et al. 2009a)
"
NIES-2594,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST133 (Tanabe et al. 2009a)
"
NIES-2595,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably toxicity,,"ST163 (Tanabe et al. 2011)
"
NIES-2596,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator,,"ST169 (Tanabe et al. 2011)
"
NIES-2597,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator,,"ST170 (Tanabe et al. 2011)
"
NIES-2598,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,"Cyanobacterial water bloom (aoko); Indicator, Toxicity",,"ST185 (Tanabe et al. 2011)
"
NIES-2599,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator,,"ST179 (Tanabe et al. 2011)
"
NIES-2600,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator,,"ST181 (Tanabe et al. 2011)
"
NIES-2601,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST184 (Tanabe et al. 2011)
"
NIES-2602,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Inbanuma,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Offensive odor; Indicator; Probably non-toxic,,"ST195 (Tanabe et al. 2011)
"
NIES-2603,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST199 (Tanabe et al. 2011)
"
NIES-2604,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Biwa,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,"Cyanobacterial water bloom (aoko); Indicator, Toxicity",,"ST203 (Tanabe et al. 2011)
"
NIES-2605,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Nagura Dam, Ishigaki Isl.,",,Eutrophic,Reservoir,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,"Cyanobacterial water bloom (aoko); Indicator, Toxicity",,"ST206 (Tanabe et al. 2011)
"
NIES-2606,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST216 (Tanabe et al. 2011)
"
NIES-2607,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST217 (Tanabe et al. 2011)
"
NIES-2608,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kitaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST221 (Tanabe et al. 2011)
"
NIES-2609,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kitaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST224 (Tanabe et al. 2011)
"
NIES-2610,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Hachirogata,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably toxicity,,"ST230 (Tanabe et al. 2011)
"
NIES-2611,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Hachirogata,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably toxicity,,"ST234 (Tanabe et al. 2011)
"
NIES-2612,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Hachirogata,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic[2016 Aug],Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST228 (Tanabe et al. 2011)
"
NIES-2613,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Hachirogata,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Offensive odor; Indicator; Probably non-toxic,,"ST235 (Tanabe et al. 2011)
"
NIES-2614,National Institute for Environmental Studies,Vaucheria,frigida,Heterokontophyta,Xanthophyceae,Conferva frigida Roth; Ectosperma multicornis Vaucher 1803Vaucheria hamata J.Walz 1866; Vaucheria brevicaulis Blum 1951; Vaucheria pseudohamata Prescott 1953; Vaucheria mulleola subsp. calida T.A.Christensen 1987,,,Oligotrophic,Stream,,Unialgal; Clonal; Non-axenic,Subculture,No,,,"Homothallic
"
NIES-2615,National Institute for Environmental Studies,Vaucheria,frigida,Heterokontophyta,Xanthophyceae,Conferva frigida Roth; Ectosperma multicornis Vaucher 1803Vaucheria hamata J.Walz 1866; Vaucheria brevicaulis Blum 1951; Vaucheria pseudohamata Prescott 1953; Vaucheria mulleola subsp. calida T.A.Christensen 1987,,,Oligotrophic,Stream,,Unialgal; Clonal; Non-axenic,Subculture,No,,,"Homothallic
"
NIES-2616,National Institute for Environmental Studies,Vaucheria,frigida,Heterokontophyta,Xanthophyceae,Conferva frigida Roth; Ectosperma multicornis Vaucher 1803Vaucheria hamata J.Walz 1866; Vaucheria brevicaulis Blum 1951; Vaucheria pseudohamata Prescott 1953; Vaucheria mulleola subsp. calida T.A.Christensen 1987,,,Oligotrophic,Stream,,Unialgal; Clonal; Non-axenic,Subculture,No,,,"Homothallic
"
NIES-2617,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Toxicity,,"ST141 (Tanabe et al. 2011)
"
NIES-2618,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST143 (Tanabe et al. 2011)
"
NIES-2619,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST162 (Tanabe et al. 2011)
"
NIES-2620,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator,,"ST127 (Tanabe et al. 2011)
"
NIES-2621,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic[2016 Aug],Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST187 (Tanabe et al. 2011)
"
NIES-2622,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator,,"ST180 (Tanabe et al. 2011)
"
NIES-2623,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Hyotan-ike Pond,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST201 (Tanabe et al. 2011)
"
NIES-2624,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Biwa,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST103 (Tanabe et al. 2011)
"
NIES-2625,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Yamashita-ike Pond,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST209 (Tanabe et al. 2011)
"
NIES-2626,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kitaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST219 (Tanabe et al. 2011)
"
NIES-2627,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Hachirogata,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST233 (Tanabe et al. 2011)
"
NIES-2628,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Hachirogata,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST227 (Tanabe et al. 2011)
"
NIES-2629,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Hachirogata,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Indicator; Probably non-toxic,,"ST231 (Tanabe et al. 2011)
"
NIES-2633,National Institute for Environmental Studies,Chattonella,subsalsa,Heterokontophyta,Raphidophyceae,,Gulf of Mexico,,,,Coastal,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Red tide,,"
"
NIES-2634,National Institute for Environmental Studies,Chattonella,subsalsa,Heterokontophyta,Raphidophyceae,,"Indian River Bay,",,,,Coastal,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,Red tide,,"
"
NIES-2635,National Institute for Environmental Studies,Paulinella,chromatophora,Cercozoa,Imbricatea,,"Fukuroda,",,Mesotrophic,Pond,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Symbiotic; Benthic,"
"
NIES-2636,National Institute for Environmental Studies,Chantransia,macrospora,Rhodophyta,Florideophyceae,,"Ryukyu University,",,Dystrophic,Pond,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,Probably intruding species,Epiphytic,"
"
NIES-2638,National Institute for Environmental Studies,Symbiodinium,sp.,Dinophyta,Dinophyceae,,"Cape Bisesaki,",,,,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Benthic; Symbiotic,"Clade A
"
NIES-2639,National Institute for Environmental Studies,Symbiodinium,sp.,Dinophyta,Dinophyceae,,"Ohdo Beach,",,,,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Benthic; Symbiotic,"Clade A
"
NIES-2640,National Institute for Environmental Studies,Symbiodinium,sp.,Dinophyta,Dinophyceae,,,,,,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Benthic; Symbiotic,"Clade A
"
NIES-2641,National Institute for Environmental Studies,Symbiodinium,sp.,Dinophyta,Dinophyceae,,,,,,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Benthic; Symbiotic,"Clade A
"
NIES-2642,National Institute for Environmental Studies,Symbiodinium,sp.,Dinophyta,Dinophyceae,,,,,,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Benthic; Symbiotic,"Clade A
"
NIES-2643,National Institute for Environmental Studies,Symbiodinium,sp.,Dinophyta,Dinophyceae,,,,,,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Benthic; Symbiotic,"Clade A
"
NIES-2648,National Institute for Environmental Studies,Trentepohlia,arborum,Chlorophyta,Ulvophyceae,Trentepohlia polycarpa De Wildeman; Conferva arborum C.Agardh; Chroolepus villosum K?tzing; Trentepohlia tuckermanniana Montagne; Chroolepus flavum var. tahitensis Grunow; Trentepohlia pleiocarpa Nordstedt; Trentepohlia kurzii (Zeller) De Toni & Levi ; Trentepohlia villosa (K?tzing) De Toni; Trentepohlia wainioi Hariot; Trentepohlia bisporangiata Karsten; Trentepohlia arborum var. major A.K.M.N.Islam,"Mitaki Temple,",,,,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,Aerial; Epilithic,"
"
NIES-2649,National Institute for Environmental Studies,Trentepohlia,aurea,Chlorophyta,Ulvophyceae,Byssus aurea Linnaeus,"Taishaku-kyo Gorge,",,,,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,Aerial; Epilithic,"
"
NIES-2650,National Institute for Environmental Studies,Trentepohlia,aurea,Chlorophyta,Ulvophyceae,Byssus aurea Linnaeus,"Taishaku-kyo Gorge,",,,,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,Aerial; Epilithic,"
"
NIES-2651,National Institute for Environmental Studies,Trentepohlia,aurea,Chlorophyta,Ulvophyceae,Byssus aurea Linnaeus,"Taishaku-kyo Gorge,",,,,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,Aerial; Epilithic,"
"
NIES-2652,National Institute for Environmental Studies,Trentepohlia,aurea,Chlorophyta,Ulvophyceae,Byssus aurea Linnaeus,"Hiyo Shrine,",,,,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,Aerial; Epilithic,"
"
NIES-2659,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"Isahaya Bay,",,,,Coastal,Unialgal; Clonal; Non-axenic,Subculture,No,,,"
"
NIES-2660,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hornellia marina Subrahmanyan 1954,"Isahaya Bay,",,,,Coastal,Unialgal; Clonal; Non-axenic,Subculture,No,,,"
"
NIES-2661,National Institute for Environmental Studies,Chara,braunii,Streptophyta,Charophyceae,,"Lake Kasumigaura,",,,Lake,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Monoecious; VU
"
NIES-2662,National Institute for Environmental Studies,Corynoplastis,japonica,Rhodophyta,Rhodellophyceae,,Tobishima Isl.,,,,Coastal,Unialgal; Clonal; Axenic[2021 Sept],Subculture,Uncertain,,,"Authentic strain (Yokoyama et al. 2009)
"
NIES-2663,National Institute for Environmental Studies,Amphidinium,sp.,Dinophyta,Dinophyceae,,"Taketomi Isl.,",,,,Coastal,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Benthic,"Resting spore-forming
"
NIES-2664,National Institute for Environmental Studies,Amphidinium,sp.,Dinophyta,Dinophyceae,,"Taketomi Isl.,",,,,Coastal,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Benthic,"Resting spore-forming
"
NIES-2665,National Institute for Environmental Studies,Umezakia,natans,Cyanophyta,Cyanophyceae,,"Lake Sugako,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Toxicity (McGregor et al. 2023) ,Nitrogen fixation@(aerobic condition),"
"
NIES-2666,National Institute for Environmental Studies,Closterium,peracerosum-strigosum-littorale complex,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Homothallic; Isogamous
"
NIES-2667,National Institute for Environmental Studies,Penium,margaritaceum,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Homothallic
"
NIES-2668,National Institute for Environmental Studies,Eucampia,sp.,Heterokontophyta,Bacillariophyceae,,,,,,Coastal,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-2670,National Institute for Environmental Studies,Bathycoccus ,prasinos,Chlorophyta,Mamiellophyceae,,"English Channel (Brittanny coast),",,Depth(-0m),,,Unialgal; Clonal; Non-axenic,Subculture,No,,Planktonic,"
"
NIES-2672,National Institute for Environmental Studies,Micromonas,commoda,Chlorophyta,Mamiellophyceae,,"Equatorial Pacific Ocean,",,Depth(-0m),,,Unialgal; Clonal; Non-axenic,Cryopreservation,No,,Planktonic,"
"
NIES-2673,National Institute for Environmental Studies,Ostreococcus,tauri,Chlorophyta,Mamiellophyceae,,"Mediterranean Sea (Thau Lagoon),",,Depth(-0m),,,Unialgal; Clonal; Non-axenic[2021 Sept],Cryopreservation,No,,Planktonic,"
"
NIES-2674,National Institute for Environmental Studies,Ostreococcus,sp.,Chlorophyta,Mamiellophyceae,,Tropical Atlantic Ocean (Depth -105m),,Depth(-105m),,,Unialgal; Clonal; Non-axenic,Cryopreservation,No,,Planktonic,"
"
NIES-2677,National Institute for Environmental Studies,Bigelowiella,natans,Cercozoa,Chlorarachniophyceae,,Mediterranean Sea (Depth -25m),,Depth(-25m),,,Unialgal; Clonal; Non-axenic,Subculture,No,,Planktonic,"
"
