Stock No.,Institution name,Genus,Species,Division,Class,Synonym,Place name,Habitats,Details of habitat,Details on the freshwater environment,Details on the marine environment,State of algal and cyanobacterial strain,Preservation state,Cryopreservation,Environmental characteristics,Physiological and ecological characteristics,"Other characteristics
"
NIES-3592,National Institute for Environmental Studies,Amphidinium,sp.,Dinophyta,Dinophyceae,,"Hiuchi-nada, Seto Inland Sea,",,,,Intertidal (Beach),Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3597,National Institute for Environmental Studies,Gymnodinium,impudicum,Dinophyta,Dinophyceae,,,,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3598,National Institute for Environmental Studies,Gymnodinium,sp.,Dinophyta,Dinophyceae,,"Yashima Bay,",,,,Intertidal (Beach),Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3600,National Institute for Environmental Studies,Trichodesmium,sp.,Cyanophyta,Cyanophyceae,,"Kuroshio current off Izu Peninsula,",,Oligotrophic,,Pelagic,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,Nitrogen fixation,"
"
NIES-3602,National Institute for Environmental Studies,Gymnodinium,sp.,Dinophyta,Dinophyceae,,"Harima-Nada, Seto Inland Sea",,,,Intertidal (Beach),Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3604,National Institute for Environmental Studies,Gyrodinium,falcatum,Dinophyta,Dinophyceae,,"Hiuchi-nada, Seto Inland Sea",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3605,National Institute for Environmental Studies,Gyrodinium,instriatum,Dinophyta,Dinophyceae,,"Harima-Nada, Seto Inland Sea",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3606,National Institute for Environmental Studies,Gyrodinium,sp.,Dinophyta,Dinophyceae,,"Uchiumi Bay, Shodo Isl.,",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3610,National Institute for Environmental Studies,Alexandrium,catenella,Dinophyta,Dinophyceae,Gonyaulax catenella Whedon & Kofoid 1936; Protogonyaulax catenella (Whedon & Kofoid) Taylor 1979; Gessnerium catenella (Whedon & Kofoid) F.J.R.Taylor 1979; Gonyaulax washingtonensis Hsu 1967; Alexandrium fundyense Balech 1985,"Shimoda,",,,,,Unialgal; Non-axenic,Subculture,Uncertain,Toxicity,,"
"
NIES-3611,National Institute for Environmental Studies,Alexandrium,hiranoi,Dinophyta,Dinophyceae,,"Muroto Cape,",,,,Intertidal (Tide pool),Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3612,National Institute for Environmental Studies,Alexandrium,tamiyavanichii,Dinophyta,Dinophyceae,,"Harima-Nada, Seto Inland Sea",,,,,Unialgal; Non-axenic,Subculture,Uncertain,Toxicity,,"
"
NIES-3617,National Institute for Environmental Studies,Heterocapsa,circularisquama,Dinophyta,Dinophyceae,,,,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3618,National Institute for Environmental Studies,Heterocapsa,circularisquama,Dinophyta,Dinophyceae,,"Uchiumi Bay, Shodo Isl.,",,,,Inner bay,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3619,National Institute for Environmental Studies,Heterocapsa,circularisquama,Dinophyta,Dinophyceae,,Imari Bay,,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3620,National Institute for Environmental Studies,Heterocapsa,circularisquama,Dinophyta,Dinophyceae,,"Uchiumi Bay, Shodo Isl.,",,,,Inner bay,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3621,National Institute for Environmental Studies,Heterocapsa,circularisquama,Dinophyta,Dinophyceae,,"Harima-Nada, Seto Inland Sea",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3623,National Institute for Environmental Studies,Pyrophacus,horologium,Dinophyta,Dinophyceae,,"Harima-Nada, Seto Inland Sea",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-3624,National Institute for Environmental Studies,Pyrophacus,steinii,Dinophyta,Dinophyceae,,"Harima-Nada, Seto Inland Sea",,,,,Unialgal; Non-axenic,Subculture,Uncertain,,,"
"
