;LEGE 06133;N16051;Nodosilinea sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06144;N16052;unidentified filamentous Synechococcales;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 91093;N16053;Microcystis sp.;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06140;N16054;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07157;N16055;unidentified filamentous cyanobacterium;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07167;N16056;unidentified filamentous cyanobacterium;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06077;N16057;Nostoc sp.;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06109;N16058;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07178;N16059;Rivularia sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 10410;N16060;unidentified Pleurocapsales;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06069;N16061;Nodosilinea sp.;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06112;N16062;unidentified Pseudanabaenaceae cyanobacterium*;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07180;N16063;unidentified filamentous cyanobacterium;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 14445;N16064;Tolypothrix sp.;CIIMAR;F;Colombia;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07091;N16065;Nodosilinea sp.;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06308;N16066;Nodosilinea sp.;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 11397;N16067;Tolypothrix sp.;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 10387;N16068;unidentified unicellular Synechococcales;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06113;N16069;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 12450;N16070;Nostoc sp.;CIIMAR;T;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06148;N16071;aff. Nodosilinea sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 10400;N16072;unidentified colonial Synechococcales;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 12447;N16073;Nostoc sp.;CIIMAR;T;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 91352;N17074;Microcystis aeruginosa;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07085;N17075;Nodosilinea sp.;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07189;N17076;Scytonema sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 12411;N17077;aff. Roholtiella sp.;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 99044;N17078;Cylindrospermopsis raciborskii;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 03282;N17079;Cuspidothrix issatschenkoi;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06222;N17080;Planktothrix mougeotii;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07084;N17081;Nodosilinea nodulosa;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06023;N17082;Cyanobium sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06145;N17083;Nodosilinea sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
